역번호,역명,노선번호,노선명
0097,연천,I4102,1호선
0098,전곡,I4102,1호선
0099,청산,I4102,1호선
0100,소요산,I4102,1호선
0101,동두천,I4102,1호선
0102,보산,I4102,1호선
0103,동두천중앙,I4102,1호선
0104,지행,I4102,1호선
0105,덕정,I4102,1호선
0106,덕계,I4102,1호선
0107,양주,I4102,1호선
0108,녹양,I4102,1호선
0109,가능,I4102,1호선
0110,의정부,I4102,1호선
0111,회룡,I4102,1호선
0112,망월사,I4102,1호선
0113,도봉산,I4102,1호선
0114,도봉,I4102,1호선
0115,방학,I4102,1호선
0116,창동,I4102,1호선
0117,녹천,I4102,1호선
0118,월계,I4102,1호선
0119,광운대,I4102,1호선
0120,석계,I4102,1호선
0121,신이문,I4102,1호선
0122,외대앞,I4102,1호선
0123,회기,I4102,1호선
0124,청량리,I4101,1호선
0125,제기동,I4101,1호선
0126,신설동,I4101,1호선
0127,동묘앞,I4101,1호선
0128,동대문,I4101,1호선
0129,종로5가,I4101,1호선
0130,종로3가,I4101,1호선
0131,종각,I4101,1호선
0132,시청,I4101,1호선
0133,서울,I4101,1호선
1002,남영,I4101,1호선
1003,용산,I4101,1호선
1004,노량진,I4101,1호선
1005,대방,I4101,1호선
1006,신길,I4101,1호선
1007,영등포,I4101,1호선
1008,신도림,I4101,1호선
1009,구로,I4101,1호선
1010,구일,I1101,1호선
1011,개봉,I1101,1호선
1012,오류동,I1101,1호선
1013,온수,I1101,1호선
1014,역곡,I1101,1호선
1015,소사,I1101,1호선
1016,부천,I1101,1호선
1017,중동,I1101,1호선
1018,송내,I1101,1호선
1019,부개,I1101,1호선
1020,부평,I1101,1호선
1021,백운,I1101,1호선
1022,동암,I1101,1호선
1023,간석,I1101,1호선
1024,주안,I1101,1호선
1025,도화,I1101,1호선
1026,제물포,I1101,1호선
1027,도원,I1101,1호선
1028,동인천,I1101,1호선
1029,인천,I1101,1호선
1702,가산디지털단지,I4101,1호선
1703,독산,I4101,1호선
1704,금천구청,I4101,1호선
1704-1,광명,I4101,1호선
1705,석수,I4101,1호선
1706,관악,I4101,1호선
1707,안양,I4101,1호선
1708,명학,I4101,1호선
1709,금정,I4101,1호선
1710,군포,I4101,1호선
1711,당정,I4101,1호선
1712,의왕,I4101,1호선
1713,성균관대,I4101,1호선
1714,화서,I4101,1호선
1715,수원,I4101,1호선
1716,세류,I4101,1호선
1717,병점,I4101,1호선
1717-1,서동탄,I4101,1호선
1718,세마,I4101,1호선
1719,오산대,I4101,1호선
1720,오산,I4101,1호선
1721,진위,I4101,1호선
1722,송탄,I4101,1호선
1723,서정리,I4101,1호선
1724,평택지제,I4101,1호선
1725,평택,I4101,1호선
1726,성환,I4101,1호선
1727,직산,I4101,1호선
1728,두정,I4101,1호선
1729,천안,I4401,1호선
1730,봉명,I4401,1호선
1731,쌍용,I4401,1호선
1732,아산,I4401,1호선
1733,탕정,I4401,1호선
1734,배방,I4401,1호선
1735,온양온천,I4401,1호선
1736,신창,I4401,1호선
0201,시청,S1102,2호선
0202,을지로입구,S1102,2호선
0203,을지로3가,S1102,2호선
0204,을지로4가,S1102,2호선
0205,동대문역사문화공원,S1102,2호선
0206,신당,S1102,2호선
0207,상왕십리,S1102,2호선
0208,왕십리,S1102,2호선
0209,한양대,S1102,2호선
0210,뚝섬,S1102,2호선
0211,성수,S1102,2호선
0212,건대입구,S1102,2호선
0213,구의,S1102,2호선
0214,강변,S1102,2호선
0215,잠실나루,S1102,2호선
0216,잠실,S1102,2호선
0217,잠실새내,S1102,2호선
0218,종합운동장,S1102,2호선
0219,삼성,S1102,2호선
0220,선릉,S1102,2호선
0221,역삼,S1102,2호선
0222,강남,S1102,2호선
0223,교대,S1102,2호선
0224,서초,S1102,2호선
0225,방배,S1102,2호선
0226,사당,S1102,2호선
0227,낙성대,S1102,2호선
0228,서울대입구,S1102,2호선
0229,봉천,S1102,2호선
0230,신림,S1102,2호선
0231,신대방,S1102,2호선
0232,구로디지털단지,S1102,2호선
0233,대림,S1102,2호선
0234,신도림,S1102,2호선
0235,문래,S1102,2호선
0236,영등포구청,S1102,2호선
0237,당산,S1102,2호선
0238,합정,S1102,2호선
0239,홍대입구,S1102,2호선
0240,신촌,S1102,2호선
0241,이대,S1102,2호선
0242,아현,S1102,2호선
0243,충정로,S1102,2호선
2111,용답,S1121,2호선
2112,신답,S1121,2호선
2113,용두,S1121,2호선
2114,신설동,S1121,2호선
2341,도림천,S1122,2호선
2342,양천구청,S1122,2호선
2343,신정네거리,S1122,2호선
2344,까치산,S1122,2호선
0309,대화,I4106,3호선
0310,주엽,I4106,3호선
0311,정발산,I4106,3호선
0312,마두,I4106,3호선
0313,백석,I4106,3호선
0314,대곡,I4106,3호선
0315,화정,I4106,3호선
0316,원당,I4106,3호선
0317,원흥,I4106,3호선
0318,삼송,I4106,3호선
0319,지축,I1103,3호선
0320,구파발,I1103,3호선
0321,연신내,I1103,3호선
0322,불광,I1103,3호선
0323,녹번,I1103,3호선
0324,홍제,I1103,3호선
0325,무악재,I1103,3호선
0326,독립문,I1103,3호선
0327,경복궁,I1103,3호선
0328,안국,I1103,3호선
0329,종로3가,I1103,3호선
0330,을지로3가,I1103,3호선
0331,충무로,I1103,3호선
0332,동대입구,I1103,3호선
0333,약수,I1103,3호선
0334,금호,I1103,3호선
0335,옥수,I1103,3호선
0336,압구정,I1103,3호선
0337,신사,I1103,3호선
0338,잠원,I1103,3호선
0339,고속터미널,I1103,3호선
0340,교대,I1103,3호선
0341,남부터미널,I1103,3호선
0342,양재,I1103,3호선
0343,매봉,I1103,3호선
0344,도곡,I1103,3호선
0345,대치,I1103,3호선
0346,학여울,I1103,3호선
0347,대청,I1103,3호선
0348,일원,I1103,3호선
0349,수서,I1103,3호선
0350,가락시장,I1103,3호선
0351,경찰병원,I1103,3호선
0352,오금,I1103,3호선
0405,진접,I4104,4호선
0406,오남,I4104,4호선
0408,별내별가람,I4104,4호선
0409,불암산,I1104,4호선
0410,상계,I1104,4호선
0411,노원,I1104,4호선
0412,창동,I1104,4호선
0413,쌍문,I1104,4호선
0414,수유,I1104,4호선
0415,미아,I1104,4호선
0416,미아사거리,I1104,4호선
0417,길음,I1104,4호선
0418,성신여대입구,I1104,4호선
0419,한성대입구,I1104,4호선
0420,혜화,I1104,4호선
0421,동대문,I1104,4호선
0422,동대문역사문화공원,I1104,4호선
0423,충무로,I1104,4호선
0424,명동,I1104,4호선
0425,회현,I1104,4호선
0426,서울,I1104,4호선
0427,숙대입구,I1104,4호선
0428,삼각지,I1104,4호선
0429,신용산,I1104,4호선
0430,이촌,I1104,4호선
0431,동작,I1104,4호선
0432,총신대입구,I1104,4호선
0433,사당,I1104,4호선
0434,남태령,I1104,4호선
1450,선바위,I4103,4호선
1451,경마공원,I4103,4호선
1452,대공원,I4103,4호선
1453,과천,I4103,4호선
1454,정부과천청사,I4103,4호선
1455,인덕원,I4103,4호선
1456,평촌,I4103,4호선
1457,범계,I4103,4호선
1708,금정,I4103,4호선
1751,산본,I4103,4호선
1752,대야미,I4103,4호선
1753,반월,I4103,4호선
1754,상록수,I4103,4호선
1755,한대앞,I4103,4호선
1756,중앙,I4103,4호선
1757,고잔,I4103,4호선
1758,초지,I4103,4호선
1759,안산,I4103,4호선
1760,능길,I4103,4호선
1761,정왕,I4103,4호선
1762,오이도,I4103,4호선
1763,수리산,I4103,4호선
0510,방화,S1105,5호선
0511,개화산,S1105,5호선
0512,김포공항,S1105,5호선
0513,송정,S1105,5호선
0514,마곡,S1105,5호선
0515,발산,S1105,5호선
0516,우장산,S1105,5호선
0517,화곡,S1105,5호선
0518,까치산,S1105,5호선
0519,신정,S1105,5호선
0520,목동,S1105,5호선
0521,오목교,S1105,5호선
0522,양평,S1105,5호선
0523,영등포구청,S1105,5호선
0524,영등포시장,S1105,5호선
0525,신길,S1105,5호선
0526,여의도,S1105,5호선
0527,여의나루,S1105,5호선
0528,마포,S1105,5호선
0529,공덕,S1105,5호선
0530,애오개,S1105,5호선
0531,충정로,S1105,5호선
0532,서대문,S1105,5호선
0533,광화문,S1105,5호선
0534,종로3가,S1105,5호선
0535,을지로4가,S1105,5호선
0536,동대문역사문화공원,S1105,5호선
0537,청구,S1105,5호선
0538,신금호,S1105,5호선
0539,행당,S1105,5호선
0540,왕십리,S1105,5호선
0541,마장,S1105,5호선
0542,답십리,S1105,5호선
0543,장한평,S1105,5호선
0544,군자,S1105,5호선
0545,아차산,S1105,5호선
0546,광나루,S1105,5호선
0547,천호,S1105,5호선
0548,강동,S1105,5호선
0549,길동,S1105,5호선
0550,굽은다리,S1105,5호선
0551,명일,S1105,5호선
0552,고덕,S1105,5호선
0553,상일동,S1105,5호선
0554,강일,S1105,5호선
0555,미사,S1105,5호선
0556,하남풍산,S1105,5호선
0557,하남시청,S1105,5호선
0558,하남검단산,S1105,5호선
P549,둔촌동,S1105,5호선
P550,올림픽공원,S1105,5호선
P551,방이,S1105,5호선
P552,오금,S1105,5호선
P553,개롱,S1105,5호선
P554,거여,S1105,5호선
P555,마천,S1105,5호선
0610,구산,S1106,6호선
0611,연신내,S1106,6호선
0612,독바위,S1106,6호선
0613,불광,S1106,6호선
0614,역촌,S1106,6호선
0615,응암,S1106,6호선
0616,새절,S1106,6호선
0617,증산,S1106,6호선
0618,디지털미디어시티,S1106,6호선
0619,월드컵경기장,S1106,6호선
0620,마포구청,S1106,6호선
0621,망원,S1106,6호선
0622,합정,S1106,6호선
0623,상수,S1106,6호선
0624,광흥창,S1106,6호선
0625,대흥,S1106,6호선
0626,공덕,S1106,6호선
0627,효창공원앞,S1106,6호선
0628,삼각지,S1106,6호선
0629,녹사평,S1106,6호선
0630,이태원,S1106,6호선
0631,한강진,S1106,6호선
0632,버티고개,S1106,6호선
0633,약수,S1106,6호선
0634,청구,S1106,6호선
0635,신당,S1106,6호선
0636,동묘앞,S1106,6호선
0637,창신,S1106,6호선
0638,보문,S1106,6호선
0639,안암,S1106,6호선
0640,고려대,S1106,6호선
0641,월곡,S1106,6호선
0642,상월곡,S1106,6호선
0643,돌곶이,S1106,6호선
0644,석계,S1106,6호선
0645,태릉입구,S1106,6호선
0646,화랑대,S1106,6호선
0647,봉화산,S1106,6호선
0648,신내,S1106,6호선
0709,장암,S1107,7호선
0710,도봉산,S1107,7호선
0711,수락산,S1107,7호선
0712,마들,S1107,7호선
0713,노원,S1107,7호선
0714,중계,S1107,7호선
0715,하계,S1107,7호선
0716,공릉,S1107,7호선
0717,태릉입구,S1107,7호선
0718,먹골,S1107,7호선
0719,중화,S1107,7호선
0720,상봉,S1107,7호선
0721,면목,S1107,7호선
0722,사가정,S1107,7호선
0723,용마산,S1107,7호선
0724,중곡,S1107,7호선
0725,군자,S1107,7호선
0726,어린이대공원,S1107,7호선
0727,건대입구,S1107,7호선
0728,자양,S1107,7호선
0729,청담,S1107,7호선
0730,강남구청,S1107,7호선
0731,학동,S1107,7호선
0732,논현,S1107,7호선
0733,반포,S1107,7호선
0734,고속터미널,S1107,7호선
0735,내방,S1107,7호선
0736,총신대입구,S1107,7호선
0737,남성,S1107,7호선
0738,숭실대입구,S1107,7호선
0739,상도,S1107,7호선
0740,장승배기,S1107,7호선
0741,신대방삼거리,S1107,7호선
0742,보라매,S1107,7호선
0743,신풍,S1107,7호선
0744,대림,S1107,7호선
0745,남구로,S1107,7호선
0746,가산디지털단지,S1107,7호선
0747,철산,S1107,7호선
0748,광명사거리,S1107,7호선
0749,천왕,S1107,7호선
0750,온수,S1107,7호선
3753,까치울,S1107,7호선
3754,부천종합운동장,S1107,7호선
3755,춘의,S1107,7호선
3756,신중동,S1107,7호선
3757,부천시청,S1107,7호선
3758,상동,S1107,7호선
3759,삼산체육관,S1107,7호선
3760,굴포천,S1107,7호선
3761,부평구청,S1107,7호선
3762,산곡,S1107,7호선
3763,석남,S1107,7호선
0804,별내,S4108,8호선
0805,다산,S4108,8호선
0806,동구릉,S4108,8호선
0807,구리,S4108,8호선
0808,장자호수공원,S4108,8호선
0809,암사역사공원,S1108,8호선
0810,암사,S1108,8호선
0811,천호,S1108,8호선
0812,강동구청,S1108,8호선
0813,몽촌토성,S1108,8호선
0814,잠실,S1108,8호선
0815,석촌,S1108,8호선
0816,송파,S1108,8호선
0817,가락시장,S1108,8호선
0818,문정,S1108,8호선
0819,장지,S1108,8호선
0820,복정,S1108,8호선
0821,남위례,S1108,8호선
0822,산성,S1108,8호선
0823,남한산성입구,S1108,8호선
0824,단대오거리,S1108,8호선
0825,신흥,S1108,8호선
0826,수진,S1108,8호선
0827,모란,S1108,8호선
4101,개화,S1109,9호선
4102,김포공항,S1109,9호선
4103,공항시장,S1109,9호선
4104,신방화,S1109,9호선
4105,마곡나루,S1109,9호선
4106,양천향교,S1109,9호선
4107,가양,S1109,9호선
4108,증미,S1109,9호선
4109,등촌,S1109,9호선
4110,염창,S1109,9호선
4111,신목동,S1109,9호선
4112,선유도,S1109,9호선
4113,당산,S1109,9호선
4114,국회의사당,S1109,9호선
4115,여의도,S1109,9호선
4116,샛강,S1109,9호선
4117,노량진,S1109,9호선
4118,노들,S1109,9호선
4119,흑석,S1109,9호선
4120,동작,S1109,9호선
4121,구반포,S1109,9호선
4122,신반포,S1109,9호선
4123,고속터미널,S1109,9호선
4124,사평,S1109,9호선
4125,신논현,S1109,9호선
4126,언주,S1109,9호선
4127,선정릉,S1109,9호선
4128,삼성중앙,S1109,9호선
4129,봉은사,S1109,9호선
4130,종합운동장,S1109,9호선
4131,삼전,S1109,9호선
4132,석촌고분,S1109,9호선
4133,석촌,S1109,9호선
4134,송파나루,S1109,9호선
4135,한성백제,S1109,9호선
4136,올림픽공원,S1109,9호선
4137,둔촌오륜,S1109,9호선
4138,중앙보훈병원,S1109,9호선
1501,판교,I41K5,경강선
1502,성남,I41K5,경강선
1503,이매,I41K5,경강선
1504,삼동,I41K5,경강선
1505,경기광주,I41K5,경강선
1506,초월,I41K5,경강선
1507,곤지암,I41K5,경강선
1508,신둔도예촌,I41K5,경강선
1509,이천,I41K5,경강선
1510,부발,I41K5,경강선
1511,세종대왕릉,I41K5,경강선
1512,여주,I41K5,경강선
1166,임진강,I4108,경의중앙선
1167,운천,I4108,경의중앙선
1168,문산,I4108,경의중앙선
1169,파주,I4108,경의중앙선
1170,월롱,I4108,경의중앙선
1171,금촌,I4108,경의중앙선
1172,금릉,I4108,경의중앙선
1173,운정,I4108,경의중앙선
1174,야당,I4108,경의중앙선
1175,탄현,I4108,경의중앙선
1176,일산,I4108,경의중앙선
1177,풍산,I4108,경의중앙선
1178,백마,I4108,경의중앙선
1179,곡산,I4108,경의중앙선
1180,대곡,I4108,경의중앙선
1181,능곡,I4108,경의중앙선
1182,행신,I4108,경의중앙선
1183,강매,I4108,경의중앙선
1184,한국항공대,I4108,경의중앙선
1185,수색,I4108,경의중앙선
1186,디지털미디어시티,I4108,경의중앙선
1187,가좌,I4108,경의중앙선
1187-1,신촌,I4108,경의중앙선
1187-2,서울,I4108,경의중앙선
1188,홍대입구,I4108,경의중앙선
1189,서강대,I4108,경의중앙선
1190,공덕,I4108,경의중앙선
1191,효창공원앞,I4108,경의중앙선
1192,용산,I4102,경의중앙선
1193,이촌,I4102,경의중앙선
1194,서빙고,I4102,경의중앙선
1195,한남,I4102,경의중앙선
1196,옥수,I4102,경의중앙선
1197,응봉,I4102,경의중앙선
1198,왕십리,I4102,경의중앙선
1199,청량리,I4102,경의중앙선
1200,회기,I4108,경의중앙선
1201,중랑,I4108,경의중앙선
1202,상봉,I4108,경의중앙선
1203,망우,I4108,경의중앙선
1204,양원,I4108,경의중앙선
1205,구리,I4108,경의중앙선
1206,도농,I4108,경의중앙선
1207,양정,I4108,경의중앙선
1208,덕소,I4108,경의중앙선
1209,도심,I4108,경의중앙선
1210,팔당,I4108,경의중앙선
1211,운길산,I4108,경의중앙선
1212,양수,I4108,경의중앙선
1213,신원,I4108,경의중앙선
1214,국수,I4108,경의중앙선
1215,아신,I4108,경의중앙선
1216,오빈,I4108,경의중앙선
1217,양평,I4108,경의중앙선
1218,원덕,I4108,경의중앙선
1219,용문,I4108,경의중앙선
1220,지평,I4108,경의중앙선
1203,망우,I41K2,경춘선
1311,신내,I41K2,경춘선
1312,갈매,I41K2,경춘선
1313,별내,I41K2,경춘선
1314,퇴계원,I41K2,경춘선
1315,사릉,I41K2,경춘선
1316,금곡,I41K2,경춘선
1317,평내호평,I41K2,경춘선
1318,천마산,I41K2,경춘선
1319,마석,I41K2,경춘선
1320,대성리,I41K2,경춘선
1321,청평,I41K2,경춘선
1322,상천,I41K2,경춘선
1323,가평,I41K2,경춘선
1324,굴봉산,I41K2,경춘선
1325,백양리,I41K2,경춘선
1326,강촌,I41K2,경춘선
1327,김유정,I41K2,경춘선
1328,남춘천,I41K2,경춘선
1329,춘천,I41K2,경춘선
A01,서울,I28A1,공항철도
A02,공덕,I28A1,공항철도
A03,홍대입구,I28A1,공항철도
A04,디지털미디어시티,I28A1,공항철도
A042,마곡나루,I28A1,공항철도
A05,김포공항,I28A1,공항철도
A06,계양,I28A1,공항철도
A07,검암,I28A1,공항철도
A071,청라국제도시,I28A1,공항철도
A072,영종,I28A1,공항철도
A08,운서,I28A1,공항철도
A09,공항화물청사,I28A1,공항철도
A10,인천공항1터미널,I28A1,공항철도
A11,인천공항2터미널,I28A1,공항철도
100,녹동,S2901,광주1호선
101,소태,S2901,광주1호선
102,학동증심사입구,S2901,광주1호선
